v1,v2
non,National Geographic NG Viajes NG Historia National Geographic NG Viajes NG Historia 
non,ESCAPADAS GRANDES VIAJES VIVIR VIAJANDO SELECCIÓN DE PLAYAS TURISMO SOSTENIBLE MAPAS Y VIAJES MULTIMEDIA HOTELES Y ALOJAMIENTOS ESPAÑA PAÍSES
non,temas /Tests
non,Periodista especializado en política internacional y naturaleza 08 de septiembre de 2020 12:09 | Actualizado a 08 de febrero de 2022,
non,"Aciertos Compártelo ¿Quieres seguir aprendiendo? Consigue un año de suscripción a la revista National Geographic a un precio increible 49,95€"
non,Llévate Un Regalo De Bienvenida Suscríbete a la revista National Geographic y forma parte del movimiento por un mundo más sostenible.
non,Disfruta de nuestras ediciones especiales a un precio único por ser suscriptor.
non,Relacionadas Naturaleza Naturaleza Ciencia Ciencia Proyecto fotográfico Naturaleza Problema ambiental Naturaleza Día Mundial del Reciclaje Naturaleza TEST Naturaleza NatGeo España Viajes NatGeo Historia NatGeo
non,"Suscríbete Alimenta tu curiosidad por solo 49,95€ al año Explora nuevos destinos por solo 49,95€ al año Da un paso más en la historia por solo 49,95€ al año ANIMALES PERSONAJES DESTINOS LO MÁS VISTO DEL MES"
non,"Explora nuevos destinos por solo 49,95€ al año"
non,Síguenos Facebook Twitter Instagram Pinterest
non,SUSCRÍBETE Y FORMA PARTE DEL CAMBIO
non,Viajes National
non,Disfruta de un espectacular número cada mes en tu casa
non,"SUSCRÍBETE Ahorra 40€ 49,95 € SUSCRÍBETE Ahorra 40€ 49,95€ SUSCRÍBETE Ahorra 40€ 49,95€"
non,¿Deseas dejar de recibir las noticias más destacadas?
non,ESCAPADAS GRANDES VIAJES VIVIR VIAJANDO SELECCIÓN DE PLAYAS TURISMO SOSTENIBLE MAPAS Y VIAJES MULTIMEDIA HOTELES Y ALOJAMIENTOS ESPAÑA PAÍSES
non,"NatGeo España Viajes NatGeo Historia NatGeo Suscríbete Alimenta tu curiosidad por solo 49,95€ al año Explora nuevos destinos por solo 49,95€ al año Da un paso más en la historia por solo 49,95€ al año ANIMALES PERSONAJES DESTINOS LO MÁS VISTO DEL MES Síguenos Facebook Twitter Instagram Pinterest SUSCRÍBETE Y FORMA PARTE DEL CAMBIO National Geographic Viajes National Geographic Historia National Geographic Disfruta de un espectacular número cada mes en tu casa SUSCRÍBETE Ahorra 40€ 49,95 € SUSCRÍBETE Ahorra 40€ 49,95€ SUSCRÍBETE Ahorra 40€ 49,95€ ¿Deseas dejar de recibir las noticias más destacadas de National Geographic España?"
non,ACTUALIDAD REPORTAJES MULTIMEDIA EFEMÉRIDES PODCAST TESTS PERSONAJES FOTO DEL DIA TODOS LOS TEMAS EDICIÓN IMPRESA
non,"Apúntate a los newsletter que más te interesen y recibe gratis los mejores reportajes, fotografías, y noticias cada semana en tu email."
non,"Apúntate a los newsletter que más te interesen y recibe gratis los mejores reportajes, fotografías, y noticias cada semana en tu email."
use,"Asia es el continente más grande y más poblado del mundo, que con cerca de 45 millones de km² supone el 8,65 % del total de la superficie terrestre y el 29,45 % de las tierras emergidas, y con sus 4 mil millones de habitantes el 60 % de la población humana. Se extiende sobre la mitad oriental del hemisferio Norte, desde el océano Glacial Ártico, al norte, hasta el océano Índico, al sur. Limita, al oeste, con los montes Urales, y, al este, con el océano Pacífico."
use,"El Taj Mahal (hindi : ताज महल, urdu : تاج محل; pronunciado /tɑʒ mə'hɑl/) es un complejo de edificios construido entre 1631 y 1654 en la ciudad de Agra, estado de Uttar Pradesh, India, a orillas del río Yamuna, por el emperador musulmán Sha Jahan de la dinastía mogol. El imponente conjunto se erigió en honor de su esposa favorita, Arjumand Bano Begum — más conocida como Mumtaz Mahal — quien murió dando a luz a su 14º hijo, y se estima que la construcción demandó el esfuerzo de unos 20 000 obreros."
use,"Alejandría de Oxiana o Alejandría del Oxo fue una ciudad supuestamente fundada por Alejandro Magno a orillas del río Oxo (Amu Daria), en su confluencia con el Kokcha, y en el umbral del Subcontinente Indio. Fue uno de los focos del helenismo en Oriente durante casi dos siglos hasta su aniquilación por invasores nómadas hacia 145 a. C., fecha en la que se ha estimado la muerte de Eucrátides I"
non,Síguenos en las redes sociales
non,El Comité español de ACNUR ha sido analizado por la Fundación Lealtad y cumple con los principios de transparencia y buenas prácticas. AENOR certifica el Sistema de Gestión de la Seguridad de la Información del Comité Español de ACNUR según la norma ISO 27001 Las cuentas del Comité español de ACNUR son auditadas por PKF Attest Las cuentas de ACNUR son auditadas por la Oficina de Servicios de Control Interno de Naciones Unidas El Comité español de ACNUR ha sido analizado por la Coordinadora de la ONGD España y cumple con los principios de transparencia y buen gobierno Mantente informado sobre la actualidad de ACNUR
use,"Europa es uno de los continentes que forman el supercontinente Eurasia, situado entre los paralelos 36º y 70º de latitud norte, a la que de forma convencional y por motivos históricos es considerada un continente. Se extiende en la mitad oriental del Hemisferio Norte, desde el océano Glacial Ártico por el norte hasta el mar Mediterráneo por el sur. Por el oeste, llega hasta el océano Atlántico; por el este, limita con Asia, de la que la separan los montes Urales, el río Ural, el mar Caspio y la cordillera del Cáucaso."
use,"Los bosques de la península ibérica —esta última, integrada actualmente por los estados de España, Portugal, Andorra y el Reino Unido, este a través del territorio británico de Gibraltar— se encuadran dentro de dos grandes regiones de flora y vegetación; cada una de ellas, caracterizada por una serie de plantas y comunidades vegetales que le son propias, además de poseer otras muchas en común."
use,"La separación entre estas dos regiones no es clara ni tajante; existe una influencia mutua, que hace muy difícil establecer unos límites precisos: algunas especies tienen su óptimo precisamente en estos espacios intermedios."
use,"La flora de la península, por sus condiciones bio-históricas, geográficas, geológicas, orográficas, etc., es una de más ricas y variadas de toda Europa, sólo comparable a la de países mediterráneos como Grecia e Italia; se calcula que incluye más de 8000 especies distintas de plantas, muchas de ellas exclusivas (endemismos)."
non,"Europa"". Autor: Julia Máxima Uriarte. Para: Caracteristicas.co. Última edición: 16 de noviembre de 2020. Disponible en: https://www.caracteristicas.co/europa/. Consultado: 27 de enero de 2022."
non,Que deseas ver?
non,Realiza tu búsqueda para tus vacaciones Alojamientos
non,Haz tu reserva online Destino 351 servicios destacados
non,Bus Elije tu asiento Coches 15000 agencias de alquiler Trenes 400 combinaciones Vuelos 30000 vuelos diarios a cualquier ciudad Parking
non,Aburrirse es opcional
non,"Ver más servicios Tenemos la guía más exhaustiva de tu destino, así que si buscas información, has dado con la mejor fuente."
non,"Rompiendo mitos: alquilar un coche no es caro. Descubre lo barato que te puede salir moverte a tu antojo durante tus vacaciones con Costasur. ¿Necesitas dejar tu coche en el aeropuerto?. Costasur te ofrece la mejor oferta del mercado, a unos precios sin competencia. ',"
